,total_sqft,bhk,sq_m,baths,Location,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft
0,630.0,2.0,59,2.0,Burari,28.0,0,1,0,0,4444.44
1,900.0,3.0,84,2.0,Burari,38.0,0,0,0,1,4222.22
2,992.0,2.0,92,2.0,Burari,41.0,0,0,0,1,4133.06
3,603.0,2.0,56,2.0,Burari,25.0,0,1,0,0,4145.94
4,900.0,3.0,84,2.0,Burari,40.0,1,0,0,0,4444.44
5,750.0,2.0,70,2.0,Dilshad Colony,53.0,0,0,0,1,7066.67
6,850.0,2.0,79,2.0,Dilshad Colony,57.0,0,1,0,0,6705.88
7,900.0,2.0,84,2.0,Dilshad Colony,70.0,0,1,0,0,7777.78
8,450.0,1.0,42,1.0,Dilshad Colony,30.0,0,1,0,0,6666.67
9,700.0,2.0,65,1.0,Dilshad Colony,45.0,0,1,0,0,6428.57
10,800.0,2.0,74,2.0,Dilshad Colony,45.0,0,1,0,0,5625.0
11,430.0,1.0,40,1.0,Dilshad Colony,25.0,0,1,0,0,5813.95
12,900.0,2.0,84,2.0,Dilshad Colony,65.0,0,1,0,0,7222.22
13,900.0,2.0,84,2.0,Dilshad Garden,65.0,1,0,0,0,7222.22
14,900.0,3.0,84,2.0,Dilshad Garden,80.0,0,1,0,0,8888.89
15,800.0,2.0,74,2.0,Dilshad Garden,50.0,0,1,0,0,6250.0
16,630.0,2.0,59,1.0,Dilshad Garden,60.0,0,1,0,0,9523.81
17,715.0,2.0,66,2.0,Dilshad Garden,70.0,0,0,0,1,9790.21
18,800.0,2.0,74,1.0,Dilshad Garden,72.0,0,0,0,1,9000.0
19,400.0,1.0,37,1.0,Dwarka Mor,14.5,0,1,0,0,3625.0
20,630.0,2.0,59,2.0,Dwarka Mor,23.0,0,0,0,1,3650.79
21,900.0,3.0,84,2.0,Dwarka Mor,40.0,0,0,0,1,4444.44
22,650.0,2.0,60,2.0,Dwarka Mor,31.0,1,0,0,0,4769.23
23,720.0,2.0,67,1.0,Dwarka Mor,28.0,1,0,0,0,3888.89
24,900.0,3.0,84,2.0,Dwarka Mor,41.0,1,0,0,0,4555.56
25,360.0,1.0,33,1.0,Dwarka Mor,15.0,0,1,0,0,4166.67
