,total_sqft,bhk,baths,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft,Burari,Dilshad Colony,Dilshad Garden,Dwarka Mor,Hari Nagar,Laxmi Nagar,Mahavir Enclave,Mehrauli,Mohan Garden,Om Vihar,Paschim Vihar,Pitampura,Sector 16 Rohini,Sector 22 Rohini,Shahadra,Tilak Nagar,Uttam Nagar,Vikas Puri,Vishnu Garden
0,630.0,2.0,2.0,28.0,0,1,0,0,4444.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,900.0,3.0,2.0,38.0,0,0,0,1,4222.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,992.0,2.0,2.0,41.0,0,0,0,1,4133.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,603.0,2.0,2.0,25.0,0,1,0,0,4145.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,900.0,3.0,2.0,40.0,1,0,0,0,4444.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,750.0,2.0,2.0,53.0,0,0,0,1,7066.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,850.0,2.0,2.0,57.0,0,1,0,0,6705.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,900.0,2.0,2.0,70.0,0,1,0,0,7777.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,450.0,1.0,1.0,30.0,0,1,0,0,6666.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,700.0,2.0,1.0,45.0,0,1,0,0,6428.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,800.0,2.0,2.0,45.0,0,1,0,0,5625.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,430.0,1.0,1.0,25.0,0,1,0,0,5813.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,900.0,2.0,2.0,65.0,0,1,0,0,7222.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,900.0,2.0,2.0,65.0,1,0,0,0,7222.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,900.0,3.0,2.0,80.0,0,1,0,0,8888.89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,800.0,2.0,2.0,50.0,0,1,0,0,6250.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,630.0,2.0,1.0,60.0,0,1,0,0,9523.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,715.0,2.0,2.0,70.0,0,0,0,1,9790.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
